operator_id,canonical_name,category,operator_pack_version,warmup_policy,missing_data_policy,deterministic,complexity_class
OP_ABS,abs,TRANSFORMATION,1.0.0,NONE,NAN,True,O(1)
OP_CLIP,clip,NORMALIZATION,1.0.0,NONE,NAN,True,O(1)
OP_DELTA,delta,TIME,1.0.0,NONE,NAN,True,O(1)
OP_DIFFERENCE,difference,ARITHMETIC,1.0.0,NONE,NAN,True,O(1)
OP_DIVIDE,divide,ARITHMETIC,1.0.0,NONE,NAN,True,O(1)
OP_EMA,ema,TREND,1.0.0,WINDOW,NAN,True,O(1)
OP_EXP,exp,TRANSFORMATION,1.0.0,NONE,NAN,True,O(1)
OP_INTERACTION,interaction,INTERACTION,1.0.0,NONE,NAN,True,O(1)
OP_LAG,lag,TIME,1.0.0,WINDOW,NAN,True,O(1)
OP_LEAD,lead,TIME,1.0.0,WINDOW,NAN,True,O(1)
OP_LOG,log,TRANSFORMATION,1.0.0,NONE,NAN,True,O(1)
OP_MAX,max,COMPARISON,1.0.0,NONE,NAN,True,O(n)
OP_MEAN,mean,STATISTICAL,1.0.0,WINDOW,NAN,True,O(window)
OP_MEDIAN,median,STATISTICAL,1.0.0,WINDOW,NAN,True,O(window)
OP_MIN,min,COMPARISON,1.0.0,NONE,NAN,True,O(n)
OP_NORMALIZE,normalize,NORMALIZATION,1.0.0,WINDOW,NAN,True,O(window)
OP_PERCENTILE,percentile,STATISTICAL,1.0.0,WINDOW,NAN,True,O(window)
OP_PRODUCT,product,ARITHMETIC,1.0.0,NONE,NAN,True,O(n)
OP_RATIO,ratio,ARITHMETIC,1.0.0,NONE,NAN,True,O(1)
OP_ROC,roc,TIME,1.0.0,WINDOW,NAN,True,O(1)
OP_ROLLING_MAX,rolling_max,ROLLING,1.0.0,WINDOW,NAN,True,O(window)
OP_ROLLING_MEAN,rolling_mean,ROLLING,1.0.0,WINDOW,NAN,True,O(window)
OP_ROLLING_MIN,rolling_min,ROLLING,1.0.0,WINDOW,NAN,True,O(window)
OP_SLOPE,slope,TREND,1.0.0,WINDOW,NAN,True,O(window)
OP_SMA,sma,TREND,1.0.0,WINDOW,NAN,True,O(window)
OP_SQRT,sqrt,TRANSFORMATION,1.0.0,NONE,NAN,True,O(1)
OP_STDDEV,stddev,STATISTICAL,1.0.0,WINDOW,NAN,True,O(window)
OP_SUM,sum,ARITHMETIC,1.0.0,NONE,NAN,True,O(n)
OP_VARIANCE,variance,STATISTICAL,1.0.0,WINDOW,NAN,True,O(window)
OP_WMA,wma,TREND,1.0.0,WINDOW,NAN,True,O(window)
OP_ZSCORE,zscore,NORMALIZATION,1.0.0,WINDOW,NAN,True,O(window)
